TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
3996.82516,98.45
3994.78492,98.412
3992.74468,98.38
3990.70444,98.361
3988.66421,98.344
3986.62397,98.346
3984.58373,98.379
3982.5435,98.429
3980.50326,98.474
3978.46302,98.477
3976.42278,98.429
3974.38255,98.385
3972.34231,98.375
3970.30207,98.378
3968.26183,98.372
3966.2216,98.344
3964.18136,98.311
3962.14112,98.313
3960.10088,98.343
3958.06065,98.36
3956.02041,98.36
3953.98017,98.364
3951.93993,98.364
3949.8997,98.325
3947.85946,98.271
3945.81922,98.262
3943.77898,98.291
3941.73875,98.321
3939.69851,98.33
3937.65827,98.32
3935.61803,98.304
3933.5778,98.281
3931.53756,98.263
3929.49732,98.287
3927.45708,98.33
3925.41685,98.342
3923.37661,98.312
3921.33637,98.261
3919.29613,98.214
3917.2559,98.191
3915.21566,98.21
3913.17542,98.269
3911.13518,98.332
3909.09495,98.353
3907.05471,98.32
3905.01447,98.255
3902.97423,98.181
3900.934,98.143
3898.89376,98.174
3896.85352,98.248
3894.81329,98.303
3892.77305,98.314
3890.73281,98.322
3888.69257,98.353
3886.65234,98.354
3884.6121,98.304
3882.57186,98.262
3880.53162,98.264
3878.49139,98.306
3876.45115,98.329
3874.41091,98.301
3872.37067,98.27
3870.33044,98.267
3868.2902,98.284
3866.24996,98.308
3864.20972,98.302
3862.16949,98.281
3860.12925,98.292
3858.08901,98.313
3856.04877,98.313
3854.00854,98.3
3851.9683,98.306
3849.92806,98.314
3847.88782,98.307
3845.84759,98.3
3843.80735,98.302
3841.76711,98.32
3839.72687,98.357
3837.68664,98.381
3835.6464,98.353
3833.60616,98.298
3831.56592,98.272
3829.52569,98.289
3827.48545,98.322
3825.44521,98.36
3823.40497,98.393
3821.36474,98.393
3819.3245,98.387
3817.28426,98.405
3815.24402,98.419
3813.20379,98.438
3811.16355,98.471
3809.12331,98.481
3807.08307,98.451
3805.04284,98.45
3803.0026,98.495
3800.96236,98.495
3798.92213,98.42
3796.88189,98.339
3794.84165,98.311
3792.80141,98.334
3790.76118,98.368
3788.72094,98.386
3786.6807,98.39
3784.64046,98.383
3782.60023,98.372
3780.55999,98.378
3778.51975,98.41
3776.47951,98.442
3774.43928,98.446
3772.39904,98.425
3770.3588,98.392
3768.31856,98.356
3766.27833,98.341
3764.23809,98.357
3762.19785,98.37
3760.15761,98.343
3758.11738,98.305
3756.07714,98.308
3754.0369,98.334
3751.99666,98.354
3749.95643,98.367
3747.91619,98.373
3745.87595,98.362
3743.83571,98.345
3741.79548,98.355
3739.75524,98.384
3737.715,98.372
3735.67476,98.307
3733.63453,98.273
3731.59429,98.289
3729.55405,98.287
3727.51381,98.265
3725.47358,98.263
3723.43334,98.279
3721.3931,98.293
3719.35286,98.304
3717.31263,98.314
3715.27239,98.31
3713.23215,98.273
3711.19191,98.233
3709.15168,98.24
3707.11144,98.275
3705.0712,98.298
3703.03097,98.293
3700.99073,98.286
3698.95049,98.311
3696.91025,98.346
3694.87002,98.357
3692.82978,98.34
3690.78954,98.314
3688.7493,98.317
3686.70907,98.367
3684.66883,98.413
3682.62859,98.412
3680.58835,98.377
3678.54812,98.355
3676.50788,98.368
3674.46764,98.39
3672.4274,98.389
3670.38717,98.361
3668.34693,98.349
3666.30669,98.363
3664.26645,98.364
3662.22622,98.344
3660.18598,98.321
3658.14574,98.291
3656.1055,98.261
3654.06527,98.259
3652.02503,98.275
3649.98479,98.263
3647.94455,98.224
3645.90432,98.226
3643.86408,98.281
3641.82384,98.361
3639.7836,98.422
3637.74337,98.429
3635.70313,98.403
3633.66289,98.383
3631.62265,98.371
3629.58242,98.338
3627.54218,98.288
3625.50194,98.264
3623.4617,98.261
3621.42147,98.255
3619.38123,98.233
3617.34099,98.208
3615.30075,98.188
3613.26052,98.187
3611.22028,98.226
3609.18004,98.268
3607.13981,98.28
3605.09957,98.287
3603.05933,98.302
3601.01909,98.303
3598.97886,98.276
3596.93862,98.241
