TITLE SAMPLE NAME:,HDPE_COKE_CAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3996.82516,98.275
3994.78492,98.247
3992.74468,98.227
3990.70444,98.205
3988.66421,98.188
3986.62397,98.186
3984.58373,98.205
3982.5435,98.254
3980.50326,98.327
3978.46302,98.362
3976.42278,98.32
3974.38255,98.261
3972.34231,98.239
3970.30207,98.252
3968.26183,98.272
3966.2216,98.274
3964.18136,98.248
3962.14112,98.237
3960.10088,98.268
3958.06065,98.279
3956.02041,98.271
3953.98017,98.295
3951.93993,98.284
3949.8997,98.2
3947.85946,98.174
3945.81922,98.208
3943.77898,98.175
3941.73875,98.172
3939.69851,98.237
3937.65827,98.264
3935.61803,98.23
3933.5778,98.139
3931.53756,98.121
3929.49732,98.23
3927.45708,98.276
3925.41685,98.204
3923.37661,98.192
3921.33637,98.202
3919.29613,98.122
3917.2559,98.068
3915.21566,98.143
3913.17542,98.243
3911.13518,98.296
3909.09495,98.337
3907.05471,98.277
3905.01447,98.135
3902.97423,98.091
3900.934,98.091
3898.89376,98.144
3896.85352,98.328
3894.81329,98.385
3892.77305,98.236
3890.73281,98.24
3888.69257,98.335
3886.65234,98.186
3884.6121,98.114
3882.57186,98.127
3880.53162,98.086
3878.49139,98.267
3876.45115,98.375
3874.41091,98.312
3872.37067,98.244
3870.33044,98.156
3868.2902,98.288
3866.24996,98.34
3864.20972,98.195
3862.16949,98.219
3860.12925,98.396
3858.08901,98.497
3856.04877,98.233
3854.00854,97.821
3851.9683,97.995
3849.92806,98.388
3847.88782,98.472
3845.84759,98.357
3843.80735,98.272
3841.76711,98.279
3839.72687,98.229
3837.68664,98.212
3835.6464,98.311
3833.60616,98.306
3831.56592,98.259
3829.52569,98.298
3827.48545,98.325
3825.44521,98.388
3823.40497,98.311
3821.36474,98.163
3819.3245,98.335
3817.28426,98.326
3815.24402,98.238
3813.20379,98.411
3811.16355,98.504
3809.12331,98.362
3807.08307,98.287
3805.04284,98.471
3803.0026,98.4
3800.96236,98.244
3798.92213,98.341
3796.88189,98.308
3794.84165,98.265
3792.80141,98.292
3790.76118,98.293
3788.72094,98.279
3786.6807,98.235
3784.64046,98.249
3782.60023,98.306
3780.55999,98.243
3778.51975,98.239
3776.47951,98.368
3774.43928,98.425
3772.39904,98.344
3770.3588,98.227
3768.31856,98.227
3766.27833,98.252
3764.23809,98.333
3762.19785,98.387
3760.15761,98.291
3758.11738,98.305
3756.07714,98.451
3754.0369,98.386
3751.99666,98.155
3749.95643,98.289
3747.91619,98.607
3745.87595,98.377
3743.83571,98.115
3741.79548,98.364
3739.75524,98.509
3737.715,98.321
3735.67476,98.068
3733.63453,98.064
3731.59429,98.25
3729.55405,98.369
3727.51381,98.269
3725.47358,98.174
3723.43334,98.196
3721.3931,98.227
3719.35286,98.284
3717.31263,98.382
3715.27239,98.397
3713.23215,98.201
3711.19191,98.044
3709.15168,98.15
3707.11144,98.307
3705.0712,98.32
3703.03097,98.203
3700.99073,98.194
3698.95049,98.307
3696.91025,98.349
3694.87002,98.363
3692.82978,98.3
3690.78954,98.097
3688.7493,98.028
3686.70907,98.247
3684.66883,98.404
3682.62859,98.383
3680.58835,98.363
3678.54812,98.286
3676.50788,98.099
3674.46764,98.258
3672.4274,98.426
3670.38717,98.146
3668.34693,98.119
3666.30669,98.309
3664.26645,98.317
3662.22622,98.277
3660.18598,98.277
3658.14574,98.19
3656.1055,98.206
3654.06527,98.446
3652.02503,98.371
3649.98479,98.008
3647.94455,97.973
3645.90432,98.217
3643.86408,98.336
3641.82384,98.301
3639.7836,98.288
3637.74337,98.312
3635.70313,98.342
3633.66289,98.409
3631.62265,98.323
3629.58242,98.009
3627.54218,98.071
3625.50194,98.397
3623.4617,98.447
3621.42147,98.225
3619.38123,98.045
3617.34099,98.147
3615.30075,98.222
3613.26052,98.171
3611.22028,98.185
3609.18004,98.163
3607.13981,98.173
3605.09957,98.281
3603.05933,98.298
3601.01909,98.249
3598.97886,98.245
3596.93862,98.205
