TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
3996.86747,0.00848
3994.82721,0.00877
3992.78695,0.00900
3990.74670,0.00901
3988.70644,0.00872
3986.66618,0.00834
3984.62592,0.00829
3982.58566,0.00857
3980.54540,0.00867
3978.50514,0.00862
3976.46488,0.00884
3974.42462,0.00917
3972.38436,0.00927
3970.34411,0.00908
3968.30385,0.00865
3966.26359,0.00836
3964.22333,0.00864
3962.18307,0.00918
3960.14281,0.00931
3958.10255,0.00912
3956.06229,0.00902
3954.02203,0.00921
3951.98177,0.00995
3949.94151,0.01108
3947.90126,0.01146
3945.86100,0.01110
3943.82074,0.01120
3941.78048,0.01094
3939.74022,0.00982
3937.69996,0.00916
3935.65970,0.00965
3933.61944,0.01120
3931.57918,0.01245
3929.53892,0.01192
3927.49867,0.01113
3925.45841,0.01151
3923.41815,0.01187
3921.37789,0.01171
3919.33763,0.01218
3917.29737,0.01260
3915.25711,0.01135
3913.21685,0.00939
3911.17659,0.00842
3909.13633,0.00895
3907.09607,0.01146
3905.05582,0.01554
3903.01556,0.01838
3900.97530,0.01818
3898.93504,0.01589
3896.89478,0.01307
3894.85452,0.01204
3892.81426,0.01323
3890.77400,0.01374
3888.73374,0.01297
3886.69348,0.01382
3884.65323,0.01542
3882.61297,0.01595
3880.57271,0.01551
3878.53245,0.01352
3876.49219,0.01261
3874.45193,0.01438
3872.41167,0.01689
3870.37141,0.01818
3868.33115,0.01734
3866.29089,0.01662
3864.25063,0.01702
3862.21038,0.01566
3860.17012,0.01347
3858.12986,0.01363
3856.08960,0.01692
3854.04934,0.02213
3852.00908,0.02183
3849.96882,0.01616
3847.92856,0.01231
3845.88830,0.01187
3843.84804,0.01405
3841.80779,0.01730
3839.76753,0.02027
3837.72727,0.02084
3835.68701,0.01850
3833.64675,0.01602
3831.60649,0.01431
3829.56623,0.01325
3827.52597,0.01316
3825.48571,0.01380
3823.44545,0.01581
3821.40519,0.01918
3819.36494,0.01982
3817.32468,0.01792
3815.28442,0.01513
3813.24416,0.01172
3811.20390,0.01008
3809.16364,0.01128
3807.12338,0.01380
3805.08312,0.01546
3803.04286,0.01745
3801.00260,0.01888
3798.96235,0.01729
3796.92209,0.01477
3794.88183,0.01198
3792.84157,0.00957
3790.80131,0.00854
3788.76105,0.00873
3786.72079,0.00977
3784.68053,0.01068
3782.64027,0.01093
3780.60001,0.01150
3778.55975,0.01147
3776.51950,0.01001
3774.47924,0.00922
3772.43898,0.01048
3770.39872,0.01285
3768.35846,0.01395
3766.31820,0.01343
3764.27794,0.01230
3762.23768,0.01211
3760.19742,0.01400
3758.15716,0.01563
3756.11691,0.01568
3754.07665,0.01732
3752.03639,0.02188
3749.99613,0.02456
3747.95587,0.02302
3745.91561,0.02200
3743.87535,0.02108
3741.83509,0.01878
3739.79483,0.01813
3737.75457,0.02078
3735.71431,0.02472
3733.67406,0.02399
3731.63380,0.01877
3729.59354,0.01505
3727.55328,0.01480
3725.51302,0.01624
3723.47276,0.01668
3721.43250,0.01550
3719.39224,0.01355
3717.35198,0.01219
3715.31172,0.01292
3713.27147,0.01638
3711.23121,0.01941
3709.19095,0.01716
3707.15069,0.01310
3705.11043,0.01127
3703.07017,0.01175
3701.02991,0.01200
3698.98965,0.01075
3696.94939,0.00989
3694.90913,0.01055
3692.86887,0.01328
3690.82862,0.01755
3688.78836,0.01867
3686.74810,0.01475
3684.70784,0.01115
3682.66758,0.01008
3680.62732,0.01146
3678.58706,0.01495
3676.54680,0.01964
3674.50654,0.02095
3672.46628,0.01904
3670.42603,0.01832
3668.38577,0.01577
3666.34551,0.01144
3664.30525,0.00883
3662.26499,0.00812
3660.22473,0.00867
3658.18447,0.01028
3656.14421,0.01192
3654.10395,0.01302
3652.06369,0.01641
3650.02343,0.02279
3647.98318,0.02389
3645.94292,0.01768
3643.90266,0.01268
3641.86240,0.01070
3639.82214,0.01012
3637.78188,0.01002
3635.74162,0.01063
