TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
3996.82516,99
3994.78492,98.976
3992.74468,98.958
3990.70444,98.944
3988.66421,98.916
3986.62397,98.911
3984.58373,98.94
3982.5435,98.979
3980.50326,99.005
3978.46302,99.012
3976.42278,99.001
3974.38255,98.973
3972.34231,98.964
3970.30207,98.983
3968.26183,98.977
3966.2216,98.935
3964.18136,98.931
3962.14112,98.964
3960.10088,98.963
3958.06065,98.937
3956.02041,98.921
3953.98017,98.921
3951.93993,98.939
3949.8997,98.94
3947.85946,98.883
3945.81922,98.854
3943.77898,98.936
3941.73875,98.975
3939.69851,98.928
3937.65827,98.882
3935.61803,98.86
3933.5778,98.891
3931.53756,98.903
3929.49732,98.855
3927.45708,98.859
3925.41685,98.907
3923.37661,98.853
3921.33637,98.786
3919.29613,98.823
3917.2559,98.865
3915.21566,98.847
3913.17542,98.855
3911.13518,98.892
3909.09495,98.887
3907.05471,98.916
3905.01447,98.96
3902.97423,98.884
3900.934,98.824
3898.89376,98.794
3896.85352,98.696
3894.81329,98.738
3892.77305,98.936
3890.73281,98.916
3888.69257,98.793
3886.65234,98.883
3884.6121,98.848
3882.57186,98.772
3880.53162,98.833
3878.49139,98.737
3876.45115,98.731
3874.41091,98.849
3872.37067,98.893
3870.33044,98.912
3868.2902,98.782
3866.24996,98.808
3864.20972,98.947
3862.16949,98.845
3860.12925,98.666
3858.08901,98.631
3856.04877,98.921
3854.00854,99.268
3851.9683,99.026
3849.92806,98.679
3847.88782,98.66
3845.84759,98.778
3843.80735,98.827
3841.76711,98.815
3839.72687,98.931
3837.68664,99.013
3835.6464,98.89
3833.60616,98.807
3831.56592,98.807
3829.52569,98.807
3827.48545,98.832
3825.44521,98.799
3823.40497,98.903
3821.36474,99.053
3819.3245,98.908
3817.28426,98.979
3815.24402,99.053
3813.20379,98.855
3811.16355,98.814
3809.12331,99.004
3807.08307,99.065
3805.04284,98.901
3803.0026,99.031
3800.96236,99.155
3798.92213,98.972
3796.88189,98.949
3794.84165,98.945
3792.80141,98.902
3790.76118,98.92
3788.72094,98.933
3786.6807,98.955
3784.64046,98.94
3782.60023,98.91
3780.55999,99.016
3778.51975,99.074
3776.47951,98.987
3774.43928,98.939
3772.39904,99.005
3770.3588,99.072
3768.31856,99.002
3766.27833,98.947
3764.23809,98.88
3762.19785,98.855
3760.15761,98.931
3758.11738,98.845
3756.07714,98.69
3754.0369,98.84
3751.99666,99.16
3749.95643,99.054
3747.91619,98.734
3745.87595,98.901
3743.83571,99.023
3741.79548,98.727
3739.75524,98.672
3737.715,98.89
3735.67476,99.019
3733.63453,98.932
3731.59429,98.767
3729.55405,98.655
3727.51381,98.741
3725.47358,98.859
3723.43334,98.87
3721.3931,98.859
3719.35286,98.837
3717.31263,98.78
3715.27239,98.792
3713.23215,98.994
3711.19191,99.089
3709.15168,98.892
3707.11144,98.735
3705.0712,98.815
3703.03097,99.011
3700.99073,99.029
3698.95049,98.912
3696.91025,98.861
3694.87002,98.809
3692.82978,98.841
3690.78954,99.044
3688.7493,99.13
3686.70907,98.949
3684.66883,98.822
3682.62859,98.827
3680.58835,98.808
3678.54812,98.868
3676.50788,99.067
3674.46764,98.924
3672.4274,98.764
3670.38717,99.001
3668.34693,98.979
3666.30669,98.815
3664.26645,98.849
3662.22622,98.904
3660.18598,98.903
3658.14574,98.976
3656.1055,98.95
3654.06527,98.747
3652.02503,98.842
3649.98479,99.107
3647.94455,99.018
3645.90432,98.776
3643.86408,98.722
3641.82384,98.834
3639.7836,98.924
3637.74337,98.94
3635.70313,98.905
3633.66289,98.816
3631.62265,98.861
3629.58242,99.102
3627.54218,98.994
3625.50194,98.713
3623.4617,98.691
3621.42147,98.852
3619.38123,98.934
3617.34099,98.782
3615.30075,98.691
3613.26052,98.758
3611.22028,98.83
3609.18004,98.927
3607.13981,98.914
3605.09957,98.822
3603.05933,98.873
3601.01909,98.966
3598.97886,98.944
3596.93862,98.895
