TITLE SAMPLE NAME:,PP_PLASTIC_BOX_PARCEL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.359
LASTX:,599.82981
LASTY:,96.005
NPOINTS:,1681
3996.82516,98.359
3994.78492,98.317
3992.74468,98.322
3990.70444,98.332
3988.66421,98.314
3986.62397,98.305
3984.58373,98.327
3982.5435,98.353
3980.50326,98.342
3978.46302,98.3
3976.42278,98.278
3974.38255,98.298
3972.34231,98.333
3970.30207,98.356
3968.26183,98.353
3966.2216,98.329
3964.18136,98.307
3962.14112,98.299
3960.10088,98.296
3958.06065,98.295
3956.02041,98.304
3953.98017,98.32
3951.93993,98.329
3949.8997,98.323
3947.85946,98.307
3945.81922,98.285
3943.77898,98.252
3941.73875,98.226
3939.69851,98.227
3937.65827,98.235
3935.61803,98.223
3933.5778,98.202
3931.53756,98.208
3929.49732,98.244
3927.45708,98.262
3925.41685,98.256
3923.37661,98.276
3921.33637,98.33
3919.29613,98.351
3917.2559,98.316
3915.21566,98.29
3913.17542,98.314
3911.13518,98.358
3909.09495,98.395
3907.05471,98.409
3905.01447,98.387
3902.97423,98.337
3900.934,98.282
3898.89376,98.237
3896.85352,98.232
3894.81329,98.26
3892.77305,98.267
3890.73281,98.242
3888.69257,98.229
3886.65234,98.229
3884.6121,98.231
3882.57186,98.249
3880.53162,98.257
3878.49139,98.247
3876.45115,98.245
3874.41091,98.255
3872.37067,98.279
3870.33044,98.285
3868.2902,98.273
3866.24996,98.289
3864.20972,98.3
3862.16949,98.275
3860.12925,98.258
3858.08901,98.27
3856.04877,98.284
3854.00854,98.251
3851.9683,98.19
3849.92806,98.192
3847.88782,98.247
3845.84759,98.302
3843.80735,98.329
3841.76711,98.344
3839.72687,98.358
3837.68664,98.363
3835.6464,98.368
3833.60616,98.362
3831.56592,98.334
3829.52569,98.319
3827.48545,98.343
3825.44521,98.386
3823.40497,98.398
3821.36474,98.337
3819.3245,98.263
3817.28426,98.242
3815.24402,98.227
3813.20379,98.215
3811.16355,98.244
3809.12331,98.295
3807.08307,98.314
3805.04284,98.314
3803.0026,98.339
3800.96236,98.347
3798.92213,98.323
3796.88189,98.322
3794.84165,98.356
3792.80141,98.388
3790.76118,98.375
3788.72094,98.324
3786.6807,98.27
3784.64046,98.24
3782.60023,98.254
3780.55999,98.301
3778.51975,98.332
3776.47951,98.314
3774.43928,98.282
3772.39904,98.28
3770.3588,98.299
3768.31856,98.306
3766.27833,98.29
3764.23809,98.278
3762.19785,98.286
3760.15761,98.283
3758.11738,98.262
3756.07714,98.274
3754.0369,98.321
3751.99666,98.339
3749.95643,98.305
3747.91619,98.281
3745.87595,98.239
3743.83571,98.159
3741.79548,98.14
3739.75524,98.194
3737.715,98.229
3735.67476,98.193
3733.63453,98.154
3731.59429,98.168
3729.55405,98.193
3727.51381,98.22
3725.47358,98.257
3723.43334,98.278
3721.3931,98.277
3719.35286,98.273
3717.31263,98.29
3715.27239,98.332
3713.23215,98.363
3711.19191,98.331
3709.15168,98.277
3707.11144,98.277
3705.0712,98.31
3703.03097,98.321
3700.99073,98.308
3698.95049,98.3
3696.91025,98.301
3694.87002,98.309
3692.82978,98.334
3690.78954,98.362
3688.7493,98.36
3686.70907,98.344
3684.66883,98.337
3682.62859,98.325
3680.58835,98.312
3678.54812,98.326
3676.50788,98.351
3674.46764,98.357
3672.4274,98.37
3670.38717,98.383
3668.34693,98.356
3666.30669,98.316
3664.26645,98.294
3662.22622,98.302
3660.18598,98.327
3658.14574,98.323
3656.1055,98.29
3654.06527,98.313
3652.02503,98.398
3649.98479,98.41
3647.94455,98.301
3645.90432,98.237
3643.86408,98.266
3641.82384,98.299
3639.7836,98.295
3637.74337,98.294
3635.70313,98.317
3633.66289,98.331
3631.62265,98.308
3629.58242,98.247
3627.54218,98.193
3625.50194,98.202
3623.4617,98.262
3621.42147,98.326
3619.38123,98.338
3617.34099,98.304
3615.30075,98.29
3613.26052,98.293
3611.22028,98.284
3609.18004,98.258
3607.13981,98.235
3605.09957,98.234
3603.05933,98.244
3601.01909,98.244
3598.97886,98.233
