TITLE SAMPLE NAME:,PP_BOX_BLACK
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.613
LASTX:,599.82981
LASTY:,98.846
NPOINTS:,1681
3996.82516,98.613
3994.78492,98.549
3992.74468,98.515
3990.70444,98.542
3988.66421,98.568
3986.62397,98.578
3984.58373,98.595
3982.5435,98.607
3980.50326,98.596
3978.46302,98.587
3976.42278,98.595
3974.38255,98.591
3972.34231,98.585
3970.30207,98.606
3968.26183,98.617
3966.2216,98.594
3964.18136,98.574
3962.14112,98.562
3960.10088,98.544
3958.06065,98.535
3956.02041,98.521
3953.98017,98.499
3951.93993,98.498
3949.8997,98.502
3947.85946,98.476
3945.81922,98.483
3943.77898,98.562
3941.73875,98.561
3939.69851,98.478
3937.65827,98.438
3935.61803,98.453
3933.5778,98.514
3931.53756,98.53
3929.49732,98.481
3927.45708,98.496
3925.41685,98.555
3923.37661,98.495
3921.33637,98.407
3919.29613,98.426
3917.2559,98.468
3915.21566,98.466
3913.17542,98.494
3911.13518,98.528
3909.09495,98.484
3907.05471,98.49
3905.01447,98.56
3902.97423,98.519
3900.934,98.456
3898.89376,98.419
3896.85352,98.336
3894.81329,98.39
3892.77305,98.583
3890.73281,98.534
3888.69257,98.36
3886.65234,98.419
3884.6121,98.409
3882.57186,98.378
3880.53162,98.463
3878.49139,98.377
3876.45115,98.371
3874.41091,98.484
3872.37067,98.539
3870.33044,98.568
3868.2902,98.436
3866.24996,98.472
3864.20972,98.647
3862.16949,98.565
3860.12925,98.352
3858.08901,98.262
3856.04877,98.53
3854.00854,98.89
3851.9683,98.645
3849.92806,98.281
3847.88782,98.28
3845.84759,98.445
3843.80735,98.525
3841.76711,98.521
3839.72687,98.645
3837.68664,98.721
3835.6464,98.572
3833.60616,98.469
3831.56592,98.448
3829.52569,98.428
3827.48545,98.463
3825.44521,98.459
3823.40497,98.595
3821.36474,98.77
3819.3245,98.598
3817.28426,98.614
3815.24402,98.67
3813.20379,98.472
3811.16355,98.404
3809.12331,98.572
3807.08307,98.666
3805.04284,98.535
3803.0026,98.643
3800.96236,98.729
3798.92213,98.531
3796.88189,98.507
3794.84165,98.509
3792.80141,98.49
3790.76118,98.54
3788.72094,98.568
3786.6807,98.585
3784.64046,98.561
3782.60023,98.534
3780.55999,98.654
3778.51975,98.71
3776.47951,98.598
3774.43928,98.533
3772.39904,98.596
3770.3588,98.659
3768.31856,98.575
3766.27833,98.517
3764.23809,98.482
3762.19785,98.496
3760.15761,98.571
3758.11738,98.447
3756.07714,98.262
3754.0369,98.407
3751.99666,98.727
3749.95643,98.621
3747.91619,98.311
3745.87595,98.499
3743.83571,98.646
3741.79548,98.352
3739.75524,98.274
3737.715,98.474
3735.67476,98.61
3733.63453,98.538
3731.59429,98.384
3729.55405,98.274
3727.51381,98.339
3725.47358,98.432
3723.43334,98.453
3721.3931,98.475
3719.35286,98.46
3717.31263,98.373
3715.27239,98.365
3713.23215,98.588
3711.19191,98.734
3709.15168,98.561
3707.11144,98.377
3705.0712,98.423
3703.03097,98.61
3700.99073,98.635
3698.95049,98.524
3696.91025,98.48
3694.87002,98.444
3692.82978,98.492
3690.78954,98.685
3688.7493,98.732
3686.70907,98.531
3684.66883,98.42
3682.62859,98.446
3680.58835,98.448
3678.54812,98.539
3676.50788,98.778
3674.46764,98.651
3672.4274,98.467
3670.38717,98.656
3668.34693,98.586
3666.30669,98.392
3664.26645,98.42
3662.22622,98.477
3660.18598,98.49
3658.14574,98.583
3656.1055,98.566
3654.06527,98.366
3652.02503,98.492
3649.98479,98.813
3647.94455,98.72
3645.90432,98.418
3643.86408,98.33
3641.82384,98.443
3639.7836,98.537
3637.74337,98.552
3635.70313,98.528
3633.66289,98.471
3631.62265,98.557
3629.58242,98.829
3627.54218,98.715
3625.50194,98.388
3623.4617,98.328
3621.42147,98.479
3619.38123,98.555
3617.34099,98.388
3615.30075,98.292
3613.26052,98.354
3611.22028,98.414
3609.18004,98.511
3607.13981,98.527
3605.09957,98.458
3603.05933,98.505
3601.01909,98.578
3598.97886,98.541
3596.93862,98.499
