TITLE SAMPLE NAME:,PP_CHOCO_AMUL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.979
LASTX:,599.82981
LASTY:,100.1
NPOINTS:,1681
3996.82516,98.979
3994.78492,98.952
3992.74468,98.923
3990.70444,98.899
3988.66421,98.874
3986.62397,98.85
3984.58373,98.843
3982.5435,98.874
3980.50326,98.93
3978.46302,98.97
3976.42278,98.969
3974.38255,98.944
3972.34231,98.933
3970.30207,98.946
3968.26183,98.952
3966.2216,98.941
3964.18136,98.94
3962.14112,98.955
3960.10088,98.968
3958.06065,98.971
3956.02041,98.974
3953.98017,98.989
3951.93993,98.983
3949.8997,98.93
3947.85946,98.882
3945.81922,98.89
3943.77898,98.93
3941.73875,98.951
3939.69851,98.936
3937.65827,98.893
3935.61803,98.847
3933.5778,98.817
3931.53756,98.821
3929.49732,98.872
3927.45708,98.926
3925.41685,98.932
3923.37661,98.887
3921.33637,98.827
3919.29613,98.793
3917.2559,98.801
3915.21566,98.837
3913.17542,98.884
3911.13518,98.919
3909.09495,98.925
3907.05471,98.914
3905.01447,98.893
3902.97423,98.857
3900.934,98.825
3898.89376,98.838
3896.85352,98.882
3894.81329,98.907
3892.77305,98.903
3890.73281,98.899
3888.69257,98.908
3886.65234,98.902
3884.6121,98.872
3882.57186,98.842
3880.53162,98.83
3878.49139,98.862
3876.45115,98.926
3874.41091,98.968
3872.37067,98.956
3870.33044,98.908
3868.2902,98.883
3866.24996,98.885
3864.20972,98.865
3862.16949,98.848
3860.12925,98.873
3858.08901,98.901
3856.04877,98.896
3854.00854,98.867
3851.9683,98.845
3849.92806,98.861
3847.88782,98.888
3845.84759,98.898
3843.80735,98.901
3841.76711,98.92
3839.72687,98.949
3837.68664,98.964
3835.6464,98.948
3833.60616,98.897
3831.56592,98.851
3829.52569,98.858
3827.48545,98.905
3825.44521,98.947
3823.40497,98.979
3821.36474,99.027
3819.3245,99.085
3817.28426,99.099
3815.24402,99.053
3813.20379,99.02
3811.16355,99.038
3809.12331,99.065
3807.08307,99.064
3805.04284,99.058
3803.0026,99.06
3800.96236,99.044
3798.92213,99.016
3796.88189,98.996
3794.84165,98.979
3792.80141,98.969
3790.76118,98.974
3788.72094,98.984
3786.6807,98.985
3784.64046,98.974
3782.60023,98.955
3780.55999,98.942
3778.51975,98.957
3776.47951,98.994
3774.43928,99.012
3772.39904,98.999
3770.3588,98.977
3768.31856,98.956
3766.27833,98.933
3764.23809,98.924
3762.19785,98.926
3760.15761,98.906
3758.11738,98.874
3756.07714,98.888
3754.0369,98.94
3751.99666,98.982
3749.95643,99
3747.91619,99.009
3745.87595,99.012
3743.83571,99.013
3741.79548,99.03
3739.75524,99.039
3737.715,98.995
3735.67476,98.916
3733.63453,98.892
3731.59429,98.919
3729.55405,98.92
3727.51381,98.893
3725.47358,98.878
3723.43334,98.89
3721.3931,98.909
3719.35286,98.93
3717.31263,98.953
3715.27239,98.959
3713.23215,98.931
3711.19191,98.886
3709.15168,98.878
3707.11144,98.92
3705.0712,98.965
3703.03097,98.972
3700.99073,98.962
3698.95049,98.966
3696.91025,98.96
3694.87002,98.926
3692.82978,98.899
3690.78954,98.907
3688.7493,98.941
3686.70907,98.975
3684.66883,98.992
3682.62859,98.98
3680.58835,98.943
3678.54812,98.908
3676.50788,98.928
3674.46764,99.004
3672.4274,99.055
3670.38717,99.037
3668.34693,98.986
3666.30669,98.954
3664.26645,98.931
3662.22622,98.919
3660.18598,98.936
3658.14574,98.951
3656.1055,98.943
3654.06527,98.95
3652.02503,98.978
3649.98479,98.979
3647.94455,98.939
3645.90432,98.907
3643.86408,98.907
3641.82384,98.938
3639.7836,98.978
3637.74337,98.997
3635.70313,98.989
3633.66289,98.972
3631.62265,98.955
3629.58242,98.935
3627.54218,98.927
3625.50194,98.932
3623.4617,98.919
3621.42147,98.881
3619.38123,98.849
3617.34099,98.848
3615.30075,98.854
3613.26052,98.862
3611.22028,98.901
3609.18004,98.949
3607.13981,98.964
3605.09957,98.956
3603.05933,98.962
3601.01909,98.973
3598.97886,98.953
3596.93862,98.898
